"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2020-11-16T21:57:34.0088622+02:00[Europe/Bucharest]","0.0","10.25"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2020-11-16T21:57:45.4541769+02:00[Europe/Bucharest]","0.0","5.15"
"Books express story","Login user","SUCCESS","2020-11-20T12:50:00.7606285+02:00[Europe/Bucharest]","0.0","22.89"
"Books express story","Added book to cart","SUCCESS","2020-11-20T15:04:34.6900627+02:00[Europe/Bucharest]","0.0","12.62"
"Books express story","Added book to wishlist","SUCCESS","2021-02-06T18:59:11.5706629+02:00[Europe/Bucharest]","0.0","15.42"
"Books express story","Search book","SUCCESS","2021-02-06T20:10:08.0746844+02:00[Europe/Bucharest]","0.0","7.92"
"Book express story CSV data","Search book","SUCCESS","2021-02-06T20:28:37.6499738+02:00[Europe/Bucharest]","0.0","16.5"
"Books express story","Login user with invalid password","SUCCESS","2021-02-06T20:37:36.9742539+02:00[Europe/Bucharest]","0.0","10.22"
"Books express story","Logout","SUCCESS","2021-02-06T20:37:47.7394806+02:00[Europe/Bucharest]","0.0","5.78"
"Books express story","Add book to wishlist","SUCCESS","2021-02-06T20:37:53.681935+02:00[Europe/Bucharest]","0.0","8.75"
"Books express story","Add book to cart","SUCCESS","2021-02-06T20:38:02.5991231+02:00[Europe/Bucharest]","0.0","10.68"
"Books express story","Login user with valid credentials","SUCCESS","2021-02-06T20:38:13.4248804+02:00[Europe/Bucharest]","0.0","4.38"
