"Story","Title","Result","Date","Stability","Duration (s)"
"Books express story","Search book","ERROR","2020-11-19T18:45:59.502795+02:00[Europe/Bucharest]","0.0","1.23"
"Books express story","Login user","FAILURE","2020-11-20T00:30:41.3652058+02:00[Europe/Bucharest]","0.0","24.4"
"Books express story","Login user","SUCCESS","2020-11-20T12:50:00.7606285+02:00[Europe/Bucharest]","0.0","22.89"
"Books express story","Added book to cart","SUCCESS","2020-11-20T15:04:34.6900627+02:00[Europe/Bucharest]","0.0","12.62"
"Books express story","Initialisation","ERROR","2020-11-20T23:47:08.3199228+02:00[Europe/Bucharest]","0.0","0.0"
"Books express story","Search for a book added book to wishlist and cart","ERROR","2021-02-06T18:15:18.8824888+02:00[Europe/Bucharest]","0.0","25.66"
"Books express story","Added book to wishlist","SUCCESS","2021-02-06T18:59:11.5706629+02:00[Europe/Bucharest]","0.0","15.42"
"Books express story","Search book","SUCCESS","2021-02-06T20:10:08.0746844+02:00[Europe/Bucharest]","0.0","7.92"
"Books express story","Login user with invalid password","SUCCESS","2021-02-06T20:37:36.9742539+02:00[Europe/Bucharest]","0.0","10.22"
"Books express story","Logout","SUCCESS","2021-02-06T20:37:47.7394806+02:00[Europe/Bucharest]","0.0","5.78"
"Books express story","Add book to wishlist","SUCCESS","2021-02-06T20:37:53.681935+02:00[Europe/Bucharest]","0.0","8.75"
"Books express story","Add book to cart","SUCCESS","2021-02-06T20:38:02.5991231+02:00[Europe/Bucharest]","0.0","10.68"
"Books express story","Login user with valid credentials","SUCCESS","2021-02-06T20:38:13.4248804+02:00[Europe/Bucharest]","0.0","4.38"
